㓥,tong1
啋,coi2
問,man6
問答,man6 daap3
問米,man6 mai5
問題,man6 tai4
啓,kai2
啖,gam2
啝,wo4
啞,aa5
啟民,kai2 man4
啡色,fe1 sik1
啩,gwaa3
啪,paak1
啫,ze1
啰,lo1
啱,aam1
啱倾,aam1 king1
啱傾,aam1 king1
啱啱,ngaam1 ngaam1
啱啱好,aam1 aam1 hou2
啲,di1
啲啲,di1 di1
啵,bo1
喀,haak6
喂,wai3
喂粮,wai3 loeng4
喇,laa1
喇沙,laa3 saa1
喉咙,hau4 lung4
喉嚨,hau4 lung4
喊,haam3
喊路,haam3 lou6
喎,wo3
喔,o1
喘气,cyun2 hei3
喘氣,cyun2 hei3
喜剧,hei2 kek6
喜劇,hei2 kek6
喜怒哀乐,hei3 nou6 oi1 lok6
喜怒哀樂,hei3 nou6 oi1 lok6
喜悅,hei2 jyut6
喜悦,hei2 jyut6
喜欢,hei2 fun1
喜歡,hei2 fun1
喝,hot3
喪失,song3 sat1
喫,hek3
喬,kiu4
單,daan1
單人,daan1 jan4
單位,daan1 wai2
單只,daan1 zi2
單止,daan1 zi2
單獨,daan1 duk6
單身,daan1 san1
單車,daan1 ce1
單車鏈,daan1 ce1 lin2
喱,nei1
喲,jo3
喳,zaa4
喺,hai2
喺度,hai2 dou6
喼,gip1
喽,lo3
嗅,cau3
嗌,aai3
嗎,maa3
嗜好,si3 hou3
嗯,m6
嗰,go2
嗰便,go2 bin1
嗰個,go2 go3
嗰個時候,go2 go3 si4 hau6
嗰啲,go2 di1
嗰度,go2 dou6
嗰排,go2 paai4
嗰日,go2 jat6
嗰時,go2 si4
嗰樣,go2 joeng6
嗰次,go2 ci3
嗰輪,go2 leon4
嗰邊,go2 bin1
嗰陣,go2 zan6
嗰陣時,go2 zan6 si4
嗰陣時候,go2 zan6 si4 hau6
嗰頭,go2 tau4
嗱,laa4
嗱嗱,laa4 laa2
嗱嗱临,naa4 naa4 lam4
嗱嗱臨,naa4 naa4 lam4
嗲哋,de1 di4
嗽,sau2
嘅,ge3
嘅.,ge3
嘅話,ge3 waa2
嘅话,ge3 waa2
嘈,cou4
嘈喧巴閉,cou4 hyun1 baa1 bai3
嘈喧巴闭,cou4 hyun1 baa1 bai3
嘉乐仔,gaa1 lok6 zai2
嘉年华会,gaa1 nin4 waa4 wui2
嘉年華會,gaa1 nin4 waa4 wui2
嘉樂仔,gaa1 lok6 zai2
嘉禾,gaa1 wo4
嘉穗,gaa1 seoi6
嘉誠,gaa1 sing4
嘉诚,gaa1 sing4
嘍,lo3
嘔,au2
嘔電,au2 din6
嘗試,soeng4 si3
嘘,heoi1
嘛,maa5
嘜,mak1
嘞,laak3
嘟嘟姐,du1 du4 ze1
嘢,je5
嘢食,je5 sik6
嘥,saai1
嘥气,saai1 hei3
嘥氣,saai1 hei3
嘩,waa3
嘴,zeoi2
嘴唇,zeoi2 seon4
嘴型,zeoi2 jing4
嘴脣,zeoi2 seon4
嘺,kiu2
嘿,hei3
噉,gam2
噉样,gam2 joeng2
噉样样,gam2 joeng2 joeng2
噉樣,gam2 joeng2
噉樣樣,gam2 joeng2 joeng2
噉解,gam2 gaai2
噍,ziu6
噏,ap1
噓,heoi1
噚日,cam4 jat6
噚晚,cam4 maan5
噠,daat3
噢,ou3
噸,deon1
嚇,haa2
嚇嚇,haa5 haa5
嚇死,haak3 sei2
嚟,lei4
嚴冬,jim4 dung1
嚴厲,jim4 lai6
嚴肅,jim4 suk1
嚴重,jim4 zung6
嚹,laa3
嚼,ziu6
嚿,gau6
囈,ai1
囉,lo1
囖,lo1
四,sei3
四万,sei3 maan6
四万八,sei3 maan6 baat3
四代同堂,sei3 doi6 tung4 tong4
四八,sei3 baat3
四十,sei3 sap6
四十七,sei3 sap6 cat1
四十三分,sei3 sap6 saam1 fan1
四十五,sei3 sap6 ng5
四十五万,sei3 sap6 ng5 maan6
四十五萬,sei3 sap6 ng5 maan6
四十六,sei3 sap6 luk6
四十几,sei3 sap6 gei2
四十幾,sei3 sap6 gei2
四千,sei3 cin1
四大天王,sei3 daai6 tin1 wong4
四成,sei3 sing4
四月,sei3 jyut6
四正,si3 zeng3
四点,sei3 dim2
四点几,sei3 dim2 gei2
四百,sei3 baak3
四百九十,sei3 baak3 gau2 sap6
四眼,sei3 ngaan5
四萬,sei3 maan6
四萬八,sei3 maan6 baat3
四點,sei3 dim2
四點幾,sei3 dim2 gei2
回,wui4
回异,wui4 ji6
回归,wui4 gwai1
回歸,wui4 gwai1
回流,wui4 lau4
回音,wui4 jam1
回魂,wui4 wan4
因,jan1
因为,jan1 wai6
因应,jan1 jing3
因應,jan1 jing3
因果,jan1 gwo2
因為,jan1 wai6
因素,jan1 sou3
团,tyun4
团友,tyun4 jau5
团结,tyun4 git3
团费,tyun4 fai3
园,jyun4
困,kwan3
困境,kwan3 ging2
困局,kwan3 guk6
困难,kwan3 naan4
困難,kwan3 naan4
围,wai4
围内,wai4 noi2
围观,wai4 gun1
固定,gu3 ding6
固然,gu3 jin4
国光,gwok3 gwong1
国内,gwok3 noi6
国家,gwok3 gaa1
国旗,gwok3 kei4
国杰,gwok3 git6
国泰航空公司,gwok3 taai3 hong4 hung1 gung1 si1
国脚,gwok3 goek3
国语,gwok3 jyu5
国际,gwok3 zai3
图,tou4
图书证,tou4 syu1 zing3
图书馆,tou4 syu1 gun2
图片,tou4 pin2
圈子,hyun1 zi2
國傑,gwok3 git6
國光,gwok3 gwong1
國內,gwok3 noi6
國家,gwok3 gaa1
國旗,gwok3 kei4
國泰航空公司,gwok3 taai3 hong4 hung1 gung1 si1
國腳,gwok3 goek3
國語,gwok3 jyu5
國際,gwok3 zai3
圍,wai4
圍內,wai4 noi2
圍觀,wai4 gun1
園,jyun4
圖,tou4
圖書証,tou4 syu1 zing3
圖書證,tou4 syu1 zing3
圖書館,tou4 syu1 gun2
圖片,tou4 pin2
團,tyun4
團友,tyun4 jau5
團結,tyun4 git3
團費,tyun4 fai3
圣斗士,sing3 dau3 si6
圣灵,sing3 ling4
圣玛嘉烈,sing3 maa5 gaa1 lit6
圣经,sing3 ging1
圣诞,sing3 daan3
圣诞节,sing3 daan3 zit3
在,zoi6
地,dei6
地下,dei6 haa2
地产,dei6 caan2
地位,dei6 wai6
地利店,dei6 lei6 dim3
地区,dei6 keoi1
地區,dei6 keoi1
地名,dei6 meng2
地图,dei6 tou4
地圖,dei6 tou4
地址,dei6 zi2
地底,dei6 dai2
地方,dei6 fong1
地步,dei6 bou6
地点,dei6 dim2
地狱,dei6 juk6
地獄,dei6 juk6
地球,dei6 kau4
地產,dei6 caan2
地盘,dei6 pun4
地盤,dei6 pun4
地道,dei6 dou6
地鐵,dei6 tit3
地鐵站,dei6 tit3 zaam6
地铁,dei6 tit3
地铁站,dei6 tit3 zaam6
地雷,dei6 leoi4
地點,dei6 dim2
场,coeng4
场合,coeng4 hap6
场次,coeng4 ci3
坏,waai6
坏处,waai6 cyu3
坏蛋,waai6 daan2
坏话,waai6 waa2
坐,co5
坐位,zo6 wai2
坐低,co5 dai1
坐标,zo6 biu1
坐標,zo6 biu1
坐櫈,co5 dang3
坐监,co5 gaam1
坐監,co5 gaam1
坐船,co5 syun4
块,faai3
坚持,gin1 ci4
坦,taan2
垃圾,laap6 saap3
垃圾佬,laap6 saap3 lou2
型,jing4
型号,jing4 hou6
型號,jing4 hou6
埃塞俄比亚,aai1 coi3 ngo4 bei2 aa3
埃塞俄比亞,aai1 coi3 ngo4 bei2 aa3
埋,maai4
埋來,maai4 lai4
埋去,maai4 heoi3
埋来,maai4 lai4
城,sing4
城巴,sing4 baa1
城市,sing4 si5
城市追击,sing4 si5 zeoi1 gik1
城市追擊,sing4 si5 zeoi1 gik1
埲,bung6
執,zap1
執包袱,zap1 baau1 fuk6
執笠,zap1 lap1
執行,zap1 hang4
培养,pui4 joeng5
培養,pui4 joeng5
基层,gei1 cang4
基層,gei1 cang4
基斯奥当奴,gei1 si1 ou3 dong1 nou4
基斯奧當奴,gei1 si1 ou3 dong1 nou4
基本,gei1 bun2
基本上,gei1 bun2 soeng6
基督,gei1 duk1
基督徒,gei1 duk1 tou4
基督教,gei1 duk1 gaau3
基础,gei1 co2
基礎,gei1 co2
堂,tong4
堂家姐,tong4 gaa1 ze1
堅持,gin1 ci4
堆,deoi1
報,bou3
報串,bou3 cyun3
報仇,bou3 sau4
報到,bou3 dou2
報告,bou3 gou3
報導,bou3 dou6
報稅,bou3 seoi3
報紙,bou3 zi2
報警,bou3 ging2
場,coeng4
場合,coeng4 hap6
場次,coeng4 ci3
塊,faai3
塑做,sou3 zou6
塞,sak1
塞車,sak1 ce1
塞车,sak1 ce1
填,tin4
境界,ging2 gaai3
墙,coeng4
增加,zang1 gaa1
增进,zang1 zeon3
增進,zang1 zeon3
壁,bik1
壓,aat3
壓力,aat3 lik6
壞,waai6
壞處,waai6 cyu3
壞蛋,waai6 daan2
壞話,waai6 waa2
壮士,zong3 si6
壮观,zong3 gun1
壯士,zong3 si6
壯觀,zong3 gun1
声,seng1
声称,sing1 cing1
声音,sing1 jam1
壹号皇庭,jat1 hou6 wong4 ting4
壹號皇庭,jat1 hou6 wong4 ting4
壽,sau6
处,cyu3
处于,cyu5 jyu1
处境,cyu5 ging2
处理,cyu5 lei5
处置,cyu3 zi3
复,fuk1
复杂,fuk1 zaap6
复活,fuk6 wut6
夏天,haa6 tin1
外,ngoi6
外來,ngoi6 loi4
外劳,ngoi6 lou4
外勞,ngoi6 lou4
外围,ngoi6 wai4
外国,ngoi6 gwok3
外国人,ngoi6 gwok3 jan4
外國,ngoi6 gwok3
外國人,ngoi6 gwok3 jan4
外圍,ngoi6 wai4
外地,ngoi6 dei6
外套,ngoi6 tou3
外星,ngoi6 sing1
外星人,ngoi6 sing1 jan4
外来,ngoi6 loi4
外界,ngoi6 gaai3
外籍,ngoi6 zik6
外边,ngoi6 bin6
外邊,ngoi6 bin6
外間,ngoi6 gaan1
外间,ngoi6 gaan1
外面,ngoi6 min6
多,do1
多伦多,do1 leon4 do1
多余,do1 jyu4
多倫多,do1 leon4 do1
多嘴,do1 zeoi2
多多少少,do1 do1 siu2 siu2
多数,do1 sou3
多數,do1 sou3
多災多難,do1 zoi1 do1 naan6
多灾多难,do1 zoi1 do1 naan6
多玛,do1 maa5
多瑪,do1 maa5
多蒙特,do1 mung4 dak6
多謝,do1 ze6
多谢,do1 ze6
多餘,do1 jyu4
夜,je6
夜晚,je6 maan5
夜校,je6 haau6
夜瞓,je6 fan3
够,gau3
够胆,gau3 daam2
够钟,gau3 zung1
夠,gau3
夠膽,gau3 daam2
夠鐘,gau3 zung1
夢想,mung6 soeng2
夥記,fo2 gei3
大,daai6
大三巴,daai6 saam1 baa1
大专,daai6 zyun1
大业主,daai6 jip6 zyu2
大个,daai6 go3
大个仔,daai6 go3 zai2
大丸,daai6 jyun2
大人,daai6 jan4
大件件,daai6 gin6 gin6
大佬,daai6 lou2
大個,daai6 go3
大個仔,daai6 go3 zai2
大力,daai6 lik6
大力士,daai6 lik6 si6
大单,daai6 daan1
大只,daai6 zek3
大吉利是,daai6 gat1 lai6 si6
大同小异,daai6 tung4 siu2 ji6
大同小異,daai6 tung4 siu2 ji6
大哥,daai6 go1
大單,daai6 daan1
大型,daai6 jing4
大埔,daai6 bou3
大多数,daai6 do1 sou3
大多數,daai6 do1 sou3
大大只只,daai6 daai6 zek3 zek3
大大声声,daai6 daai6 seng1 seng1
大大聲聲,daai6 daai6 seng1 seng1
大大隻隻,daai6 daai6 zek3 zek3
大头,daai6 tau4
大头虾,daai6 tau4 haa1
大姐,daai6 ze2
大姐明,daai6 ze1 ming1
大字,daai6 zi6
大学,daai6 hok6
大学生,daai6 hok6 saang1
大學,daai6 hok6
大學生,daai6 hok6 saang1
大家,daai6 gaa1
大家姐,daai6 gaa1 ze1
大專,daai6 zyun1
大把,daai6 baa2
大本營,daai6 bun2 jing4
大本营,daai6 bun2 jing4
大棑档,daai6 paai4 dong3
大棑檔,daai6 paai4 dong3
大業主,daai6 jip6 zyu2
大概,daai6 koi3
大瀑布,daai6 buk6 bou3
大班,daai6 baan1
大粒佬,daai6 lap1 lou2
大約,daai6 joek3
大細眼,daai6 sai3 ngaan5
大约,daai6 joek3
大细眼,daai6 sai3 ngaan5
大肠杆菌,daai6 coeng4 gon3 kwan2
大腸桿菌,daai6 coeng4 gon3 kwan2
大自然,daai6 zi6 jin4
大致,daai6 zi3
大逆不道,daai6 jik6 bat1 dou6
大部份,daai6 bou6 fan6
大量,daai6 loeng6
大鑊,daai6 wok6
大镬,daai6 wok6
大阪,daai6 baan2
大陆,daai6 luk6
大陸,daai6 luk6
大隻,daai6 zek3
大頭,daai6 tau4
大頭蝦,daai6 tau4 haa1
大風,daai6 fung1
大风,daai6 fung1
天,tin1
天份,tin1 fan6
天使,tin1 si3
天台,tin1 toi2
天地線,tin1 dei6 sin3
天地线,tin1 dei6 sin3
天城,tin1 sing4
天幕,tin1 mok6
天性,tin1 sing3
天意,tin1 ji3
天昏地暗,tin1 fan1 dei6 am3
天星,tin1 sing1
天气,tin1 hei3
天氣,tin1 hei3
天災地陷,tin1 zoi1 dei6 ham6
天灾地陷,tin1 zoi1 dei6 ham6
天然,tin1 jin4
天父,tin1 fu6
天王,tin1 wong4
天竺鼠,tin1 zuk1 syu2
天色,tin1 sik1
天路历程,tin1 lou6 lik6 cing4
天路歷程,tin1 lou6 lik6 cing4
天龍,tin1 lung4
天龍八步,tin1 lung4 baat3 bou6
天龍八部,tin1 lung4 baat3 bou6
天龙,tin1 lung4
天龙八步,tin1 lung4 baat3 bou6
天龙八部,tin1 lung4 baat3 bou6
太,taai3
太公,taai3 gung1
太太,taai3 taai2
太嫲,taai3 maa4
太平,taai3 ping2
太空,taai3 hung1
太空总署,taai3 hung1 zung2 cyu5
太空總署,taai3 hung1 zung2 cyu5
太过,taai3 gwo3
太過,taai3 gwo3
太阳,taai3 joeng4
太阳油,taai3 joeng4 jau4
太陽,taai3 joeng4
太陽油,taai3 joeng4 jau4
失,sat1
失业,sat1 jip6
失业大军,sat1 jip6 daai6 gwan1
失业率,sat1 jip6 leot2
失去,sat1 heoi3
失控,sat1 hung3
失望,sat1 mong6
失業,sat1 jip6
失業大軍,sat1 jip6 daai6 gwan1
失業率,sat1 jip6 leot2
失礼,sat1 lai5
失禮,sat1 lai5
头,tau4
头先,tau4 sin1
头发,tau4 faat3
头晕,tau4 wan4
头痛,tau4 tung3
头脑,tau4 nou5
夸,kwaa1
夸张,kwaa1 zoeng1
夹,gaap3
夹万,gaap3 maan6
夹份,gaap3 fan2
夹埋,gaap3 maai4
夹硬,gap3 ngaang2
夾,gaap3
夾份,gaap3 fan2
夾埋,gaap3 maai4
夾硬,gap3 ngaang2
夾萬,gaap3 maan6
奀,ngan1
奇,kei4
奇妙,kei4 miu6
奇形怪状,kei4 jing4 gwaai3 zong6
奇形怪狀,kei4 jing4 gwaai3 zong6
奇怪,kei4 gwaai3
奇特,kei4 dak6
奇连士文,kei4 lin4 si6 man4
奇連士文,kei4 lin4 si6 man4
奉,fung6
奉旨,fung6 zi2
奉献,fung6 hin3
奉獻,fung6 hin3
奏,zau3
契,kai3
奔放,ban1 fong3
奖,zoeng2
奖励,zoeng2 lai6
奖学金,zoeng2 hok6 gam1
奖项,zoeng2 hong6
套,tou3
套折,tou3 zip3
套摺,tou3 zip3
套餐,tou3 caan1
奥地利,ou3 dei6 lei6
奥斯卡,ou3 si1 kaa1
奥秘,ou3 bei3
奥运,ou3 wan6
奥运会,ou3 wan6 wui2
奧地利,ou3 dei6 lei6
奧斯卡,ou3 si1 kaa1
奧祕,ou3 bei3
奧秘,ou3 bei3
奧運,ou3 wan6
奧運會,ou3 wan6 wui2
女,neoi2
女人,neoi5 jan2
女仔,neoi5 zai2
女士,neoi5 si6
女大不中留,neoi2 daai6 bat1 zung1 lau4
女子,neoi5 zi2
女性,neoi5 sing3
女拔萃,neoi5 bat6 seoi6
女朋友,neoi5 pang4 jau5
女权,neoi5 kyun4
女權,neoi5 kyun4
女皇,neoi5 wong4
女皇头,neoi5 wong4 tau4
女皇頭,neoi5 wong4 tau4
奶,naai5
奶奶,naai4 naai2
奶茶,naai5 caa4
她,taa1
好,hou2
好事,hou2 si6
好人,hou2 jan4
好似,hou2 ci5
好做,hou2 zou6
好卖,ho2 maai6
好听,hou2 teng1
好味,hou2 mei6
好味道,hou2 mei6 dou6
好嘢,hou2 je5
好在,hou2 zoi6
好境,hou2 ging2
好处,hou2 cyu3
好多,hou2 do1
好多时,hou2 do1 si4
好多時,hou2 do1 si4
好奇,hou3 kei4
好好,hou2 hou2
好工,hou2 gung1
好彩,hou2 coi2
好心,hou2 sam1
好打,hou2 daa2
好揾,hou2 wan2
好搵,hou2 wan2
好景,hou2 ging2
好波,hou2 bo1
好玩,hou2 waan2
好眉好貌,hou2 mei4 hou2 maau6
好睇,hou2 tai2
好瞓,hou2 fan3
好笑,hou2 siu3
好耐,hou2 noi6
好聽,hou2 teng1
好處,hou2 cyu3
好賣,ho2 maai6
好轉,hou2 zyun2
好转,hou2 zyun2
好过,hou2 gwo3
好运,hou2 wan6
好運,hou2 wan6
好過,hou2 gwo3
好食,hou2 sik6
好飲,hou2 jam2
好饮,hou2 jam2
好鬼,hou2 gwai2
如何,jyu4 ho4
如果,jyu4 gwo2
妆,zong1
妇权,fu5 kyun4
妈,maa1
妈咪,maa1 mi4
妈妈,maa4 maa1
妓,gei6
妖,jiu1
妝,zong1
妥,to5
妳,nei5
妹,mui2
妻子,cai1 zi2
姊妹,zi2 mui2
始終,ci2 zung1
始终,ci2 zung1
姐,ze1
姐姐,ze4 ze1
姑勿論,gu1 mat6 leon6
姑勿论,gu1 mat6 leon6
姑奶,gu1 naai1
姑妈,gu1 maa1
姑姐,gu1 ze1
姑媽,gu1 maa1
姓,sing3
委员,wai2 jyun4
委员会,wai2 jyun4 wui2
委員,wai2 jyun4
委員會,wai2 jyun4 wui2
姣,haau4
姿势,zi1 sai3
姿勢,zi1 sai3
姿彩,zi1 coi2
威,wai1
威力,wai1 lik6
威尔斯,wai1 ji5 si1
威爾斯,wai1 ji5 si1
娓娓道來,mei5 mei5 dou6 loi4
娓娓道来,mei5 mei5 dou6 loi4
娛樂,jyu4 lok6
娛樂圈,jyu4 lok6 hyun1
娛樂版,jyu4 lok6 baan2
娱乐,jyu4 lok6
娱乐圈,jyu4 lok6 hyun1
娱乐版,jyu4 lok6 baan2
娶,ceoi2
婆,po4
婆婆,po4 po1
婆孙,po4 syun1
婆孫,po4 syun1
婚,fan1
婚姻,fan1 jan1
婦權,fu5 kyun4
媒,mui4
媒体,mui4 tai2
媒界,mui4 gaai3
媒體,mui4 tai2
媽,maa1
媽咪,maa1 mi4
媽媽,maa4 maa1
嫁,gaa3
嫁人,gaa3 jan4
嫂,sou2
嫌,jim4
嫖,piu4
嬲,nau1
子华,zi2 waa4
子欣,zi2 jan1
子母机,zi2 mou5 gei1
子母機,zi2 mou5 gei1
子由,zi2 jau4
子華,zi2 waa4
子陵,zi2 ling4
孔,hung2
孔子,hung2 zi2
孔雀,hung2 zoek3
孖襟,maa1 kam1
字,zi6
字体,zi6 tai2
字典,zi6 din2
字头,zi6 tau4
字幕,zi6 mok6
字母,zi6 mou5
字眼,zi6 ngaan5
字頭,zi6 tau4
字體,zi6 tai2
存在,cyun4 zoi6
孝心,haau3 sam1
季,gwai3
季節,gwai3 zit3
季节,gwai3 zit3
孤单,gu1 daan1
孤單,gu1 daan1
孤独,gu1 duk6
孤獨,gu1 duk6
学,hok6
学业,hok6 jip6
学习,hok6 zaap6
学位,hok6 wai2
学历,hok6 lik6
学期,hok6 kei4
学术,hok6 seot6
学术界,hok6 seot6 gaai3
学校,hok6 haau6
学生,hok6 saang1
学科,hok6 fo1
学能,hok6 nang4
学费,hok6 fai3
学院,hok6 jyun2
孩,haai4
孪,lyun4
孭,me1
孭起,me1 hei2
學,hok6
學位,hok6 wai2
學期,hok6 kei4
學校,hok6 haau6
學業,hok6 jip6
學歷,hok6 lik6
學生,hok6 saang1
學科,hok6 fo1
學習,hok6 zaap6
學能,hok6 nang4
學術,hok6 seot6
學術界,hok6 seot6 gaai3
學費,hok6 fai3
學院,hok6 jyun2
孽种,jip6 zung2
孽種,jip6 zung2
孿,lyun4
宁,ning4
宁愿,ning4 jyun2
宁缺莫滥,ning4 kyut3 mok6 laam5
它,taa1
宇宙,jyu5 zau6
守,sau2
安乐,on1 lok6
安全,on1 cyun4
安全带,on1 cyun4 daai2
安全帶,on1 cyun4 daai2
安全感,on1 cyun4 gam2
安定,on1 ding6
安心,on1 sam1
安慰,on1 wai3
安排,on1 paai4
安樂,on1 lok6
安稳,on1 wan2
安穩,on1 wan2
安装,on1 zong1
安裝,on1 zong1
安静,on1 zing6
安靜,on1 zing6
宋,sung3
完,jyun4
完全,jyun4 cyun4
完成,jyun4 sing4
完結,jyun4 git3
完结,jyun4 git3
宏伟,wang4 wai5
宏偉,wang4 wai5
宏威,wang4 wai1
官司,gun1 si1
定,ding6
定位,ding6 wai2
定係,ding6 hai6
定居,ding6 geoi1
定格,ding6 gaak3
定点,ding6 dim2
定系,ding6 hai6
定點,ding6 dim2
宛,jyun2
宝顶,bou2 ding2
实,sat6
实净,sat6 zeng6
实则上,sat6 zak1 soeng6
实力,sat6 lik6
实在,sat6 zoi6
实底,sat6 dai2
实情,sat6 cing2
实惠,sat6 wai6
实现,sat6 jin6
实用,sat6 jung6
实用文,sat6 jung6 man4
实质,sat6 zat1
实质上,sat6 zat1 soeng6
实践,sat6 cin2
实际,sat6 zai3
实际上,sat6 zai3 soeng6
实验室,sat6 jim6 sat1
宠物,cung2 mat6
审,sam2
审死官,sam2 sei2 gun1
客,haak3
客人,haak3 jan4
客戶,haak3 wu6
客户,haak3 wu6
客觀,haak3 gun1
客观,haak3 gun1
宣,syun1
宣传,syun1 cyun4
宣佈,syun1 bou3
宣傳,syun1 cyun4
宣布,syun1 bou3
家,gaa1
家乐,gaa1 lok6
家人,gaa1 jan4
家务,gaa1 mou6
家務,gaa1 mou6
家吓,gaa1 haa5
家嚇,gaa1 haa5
家城,gaa1 sing4
家姐,gaa1 ze1
家庭,gaa1 ting4
家慧,gaa1 wai6
家樂,gaa1 lok6
家碧,gaa1 bik1
家長,gaa1 zoeng2
家长,gaa1 zoeng2
家阵,gaa1 zan2
家陣,gaa1 zan2
家鼎,gaa1 ding2
容,jung4
容乜易,jung4 mat1 ji6
容忍,jung4 jan2
容易,jung4 ji6
容納,jung4 naap6
容纳,jung4 naap6
容許,jung4 heoi2
容许,jung4 heoi2
宾,ban1
宾腾,ban1 tang4
宿位,suk1 wai2
宿舍,suk1 se5
寄,gei3
寄信,gei3 seon3
密,mat6
密封,mat6 fung1
富城,fu3 sing4
寒,hon4
實,sat6
實則上,sat6 zak1 soeng6
實力,sat6 lik6
實在,sat6 zoi6
實底,sat6 dai2
實情,sat6 cing2
實惠,sat6 wai6
實淨,sat6 zeng6
實現,sat6 jin6
實用,sat6 jung6
實用文,sat6 jung6 man4
實質,sat6 zat1
實質上,sat6 zat1 soeng6
實踐,sat6 cin2
實際,sat6 zai3
實際上,sat6 zai3 soeng6
實驗室,sat6 jim6 sat1
寧,ning4
寧缺莫濫,ning4 kyut3 mok6 laam5
寧願,ning4 jyun2
審,sam2
審死官,sam2 sei2 gun1
寫,se2
寫低,se2 dai1
寫信,se2 seon3
寫字,se2 zi6
寫字樓,se2 zi6 lau4
寵物,cung2 mat6
寶頂,bou2 ding2
寸,cyun3
对,deoi3
对上,deoi3 soeng6
对于,deoi3 jyu1
对付,deoi3 fu6
对唔住,deoi3 m4 zyu6
对待,deoi3 doi6
对拳,deoi3 kyun4
对方,deoi3 fong1
对比,deoi3 bei2
对白,deoi3 baak6
对话,deoi3 waa6
对面,deoi3 min6
寻找,cam4 zaau2
导,dou6
导游,dou6 jau4
导演,dou6 jin2
寿,sau6
封,fung1
封屋,fung1 uk1
封舖,fung1 pou3
封鋪,fung1 pou3
封铺,fung1 pou3
封面,fung1 min2
射,se6
射中,se6 zung3
将,zoeng1
将会,zoeng1 wui5
将军,zoeng1 gwan1
将军澳,zoeng1 gwan1 ou3
将来,zoeng1 loi4
將,zoeng1
將來,zoeng1 loi4
將會,zoeng1 wui5
將軍,zoeng1 gwan1
將軍澳,zoeng1 gwan1 ou3
專,zyun1
專係,zyun1 hai6
專利,zyun1 lei6
專家,zyun1 gaa1
專心,zyun1 sam1
專有,zyun1 jau5
專業,zyun1 jip6
專欄,zyun1 laan4
專注,zyun1 zyu3
專登,zyun1 dang1
專科,zyun1 fo1
專線,zyun1 sin3
專門,zyun1 mun2
尊严,zyun1 jim4
尊嚴,zyun1 jim4
尊重,zyun1 zung6
尋找,cam4 zaau2
對,deoi3
對上,deoi3 soeng6
對付,deoi3 fu6
對唔住,deoi3 m4 zyu6
對待,deoi3 doi6
對拳,deoi3 kyun4
對方,deoi3 fong1
對於,deoi3 jyu1
對比,deoi3 bei2
對白,deoi3 baak6
對話,deoi3 waa6
對面,deoi3 min6
導,dou6
導演,dou6 jin2
導遊,dou6 jau4
小,siu2
小一,siu2 jat1
小事,siu2 si6
小人物,siu2 jan4 mat2
小倩,siu2 sin6
小全章,siu2 cyun4 zoeng1
小凤,siu2 fung2
小品,siu2 ban2
小型,siu2 jing4
小姐,siu2 ze2
小学,siu2 hok6
小学生,siu2 hok6 saang1
小學,siu2 hok6
小學生,siu2 hok6 saang1
小巴,siu2 baa1
小康,siu2 hong1
小心,siu2 sam1
小息,siu2 sik1
小新,siu2 san1
小时,siu2 si4
小時,siu2 si4
小朋友,siu2 pang4 jau5
小灵,siu2 ling4
小猪,siu2 zyu1
小猫,siu2 maau1
小环,siu2 waan4
小環,siu2 waan4
小組,siu2 zou2
小组,siu2 zou2
小芙蓉,siu2 fu4 jung4
小芙虫,siu2 fu4 cung4
小芙蟲,siu2 fu4 cung4
小豬,siu2 zyu1
小貓,siu2 maau1
小靈,siu2 ling4
小鳳,siu2 fung2
小龍,siu2 lung4
小龙,siu2 lung4
少,siu2
少华,siu3 waa4
少女,siu3 neoi5
少娟,siu3 gyun1
少娴,siu3 haan4
少嫺,siu3 haan4
少少,siu2 siu2
少年,siu3 nin4
少数,siu2 sou3
少數,siu2 sou3
少林寺,siu3 lam4 zi2
少華,siu3 waa4
尖,zim1
尖沙咀,zim1 saa1 zeoi2
尖沙咀区,zim1 saa1 zeoi2 keoi1
尖沙咀區,zim1 saa1 zeoi2 keoi1
尖沙嘴,zim1 saa1 zeoi2
尖沙嘴区,zim1 saa1 zeoi2 keoi1
尖沙嘴區,zim1 saa1 zeoi2 keoi1
尝试,soeng4 si3
尤其,jau4 kei4
尤其是,jau4 kei4 si6
就,zau6
就业,zau6 jip6
就住,zau6 zyu6
就來,zau6 lai4
就係,zau6 hai6
就噉,zau6 gam2
就快,zau6 faai3
就来,zau6 lai4
就業,zau6 jip6
就算,zau6 syun3
就系,zau6 hai6
尴尬,gaam3 gaai3
尷尬,gaam3 gaai3
尺,cek3
尼亚瓜拉,nei4 aa3 gwaa1 laai1
尼亞瓜拉,nei4 aa3 gwaa1 laai1
尼斯,nei4 si1
尽,zeon6
尽快,zeon6 faai3
尽管,zeon6 gun2
尽量,zeon6 loeng6
尾,mei5
尾班,mei5 baan1
尿,niu6
局外人,guk6 ngoi6 jan4
局限,guk6 haan6
屁,pei3
层,cang4
层次,cang4 ci3
层面,cang4 min2
居住,geoi1 zyu6
居然,geoi1 jin4
屆,gaai3
屈,wat1
届,gaai3
屋,uk1
屋企,uk1 kei2
屋企人,uk1 kei2 jan4
屋村,uk1 cyun1
屎,si2
屏,ping4
展,zin2
展堂,zin2 tong4
属下,suk6 haa6
